<<<<<<< HEAD
id,label,transcript
110,Trust,"Ini yang gue tunggu-tunggu, baru kali ini gue reslari itu nganya bukan kilometre tapi gigapai. Beh, penasaran kan? Ini dia di Jelentran 2025. Sikat John! Serial, serial! Atap, kejaraan di sebelah salah. Glory, Glory, man United! Jelent 25! Yulat John, rutunya mantap! Paji, paji, paji, papromo. Tahu gue benur, mantap. Terima kasih jalo gak pangk. Terima kasih Jakarta! 14 kg. Ayo! Bagaimana kali? Jadi si layak udah mendapatkan brandikat internet-national level. Mata sih! Terima kasih, Jelent! Nah, abis lari yang mempaling pas nih, biar capai yang cepet hilang kita langsung aja. Dengerin musik atau konseri yang ada di Jelentran. Ada silaun secu, ada projekkop, ada Jakarta, 48, juga. Kita singgulong sama-sama. Ada pasang MkM juga, jadi kalau lapar langsung si KangJor. Seru banget di Jelentran 2025 kali ini. Pereknya enak, suasa nanya oke, kuacanya mantap. Dan yang lebih penting adalah pelari yang ikutan di Jelentran 2025. Setiap 1 kmnya itu sama aja kita penyubang 1 giga untuk dunia pendidikan di Indonesia. Terutama di desa di saat bosom Indonesia. Mantap, keluar biasa. Semoga trus singgul."
111,Joy,"Guri, guri, Jimmy Kapipal. Baru selesai ngerjain program latihan 10 kilo bagi ini. Enak banget meskipun cuma iziran. Kuih, agak sih banyak yang bilang ya, lah, lari, pagi-pagi. Lebih penting ngerjain yang lain. Mungkin, lari itu gak begitu penting buat sebegin orang. Tapi buat gue, analoginya adalah ketika hal kecil, mampu lu bisa selesai kan dipagi hari. Artinya kesuksesan hari itu semakin besar terasa. Buh! Gokil ngatuh. Analogian, temesin. Samahalnya dengan emu, nanti malam. Kalau hal kecil gak mampu diselesai kan nanti malam. Jangan pernah berharap bicara liga Jamesson depan. Bener gak? Iya lah! Lawannya kan, emu hal kecil buat emu John. Pas, pas. Emu emu, gini gini, gini. Gini, gini, gini. Shhh, yang ngomongin posisi. Hah!"
112,Joy,lo riklorikon lo riklorikon longgang hari ini sunggurables kilo lo riklori kira-kira kaki kaki jelpa blak kasa naka maerin sambiltata wali 10 kilo lo riklorik 15 kilo wih ada juni klok beri klok 5 klok masalah temenang pagi jen berapa? berapa? berapa? berapa? berapa? berapa? ada jen berapa?
113,Anger,"Engga, jangan sih, gue ga kan bahas MU beneran, ke ngeri awal gue udah bilang, kalo MU tuh adalah pertanian, yang ga penting, ga pamping, ga pamping, lagi dilihat inggris alas sendiri, kalian fets MU masih pada nonton, kecuali kalian, heter aja MU, mereka masih punya kewajiban, job des, untuk bikin konten, ngebuli MU, ga apa-apa sih, lakana aja kita udah idok, kita udah iklas, kita ga kan bahlas, tapi yang ga iklas, itu adalah fetsyarel Madrid, wiii, pertanian, penting, tadi alekrasi, kok, tapi, ya udah, melepaskan peluang, laliga musim kali ini kepada Barcelona, tapi yang lebih ga iklas, kayaknya, Victor Munos, punya peluang, bagus di depan geauang, udah fest-to-face, sama, sisni, padahal kalo dia pasin, kehendrik kalo ga salah, itu kesempatan gue, nya bisa lebih banyak, lebih besar, dan bakal lebih seru lagi, pada lembab budingnya tak 3 gol, 3 gol hetri, nah, kalo menurut kalian, ke pemimpinan wacit di pertanian alekrasi kok, satu sampai 10 berapa nilanya, bakal seru nih kalo kita ngomongin wacit, pertama ada kontroversnya, cuman meni, terus kontroversnya, gol terakhirnya, baris Barcelona yang, di Anul Ligolnya, karena tercipta Hans Ball, sebelum terjadi gol, langsung kolom komentar, kita debat di situ, masalah penampilan wacit, el plasiko valimi, cication,"
114,Surprise,"lari sendiri bukan berarti ngapunya temen kalau kita mau punya banyak temen, ikuti arus, pasti temennya banyak tapi kita harus yang siap John, kita gak punya karakter kita cuma jadi kerumunan di tengah keramai bahasa di segatu dan belum tentu temen-temen kita kenal kita karena kita gak punya identitas jadi kalau kita mau punya karakter dan identitas kenalih diri karya gak ada salahnya lari sendiri yang gak yadung, masang gak"
115,Surprise,"Bertan tinggal, hampir 2 persus Baliu! Karena yang ujung ditunuh, cuma pilih ada di mobilbe. Kita ettäarnya satu ilian wiran tak polar duo yang susah! Nand helped�!VERJ millimeter! Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Kau mau kena? Saat! Menda menang lagi, Skol napa 2,5 gila, Nama Sotun, Kita akan menuju ke play-oh! Kau mau, asulah. Kau mau, asulah. Kau mau, asulah."
116,Joy,"Gloriglorig! Oke, kelar, test parameternya 5 km, semal effort hari ini. Kita cek fit, jerseguah uniklor dry ex selana uniklor ultra stretch. Wuh, spatu, David Nitro Elite 3, rumah, jam, dari suntor res, Already done, apa itu malas, apa itu betih, semua serapan gue. Gue abisin semua hari ini."
117,Proud,"Mau ujan mau panas, gak ada alasan karena bisa dilakukan dirumah. Mepat sehat 5 gerakan yang bisa dilakukan bodymax dan wingbow yang pertama, chin pulse buat latihan pun da kalian, biar makin kuat memikul kehidupan. Yang kedua kita sekuat kuat yang kaki-kaki biar gak sering masuk bengkel jon. Nah, habis ke latihan bisa kita taruh di seleselar ruang. Karena alat ini simple banget dan gak makan banyak space. Sikat jod!"
118,Proud,"Mertega-mertega hidup lah Indonesia raya Kita bisa menyangkut tempat-teman, kita... Kita... Jilat! Buar ribu 25, let's go, let's go! Jilat, Jilat, Jilat! Sehikad, John! Glory, Glory! Kali, Pak Romano, Pak Gubernur, mantap, terima kasih jalan lagi, Pak. Terima kasih, Jakarta! Glory, Glory! Makan, makan, makan, makan! Jalurnya mantap! Terima kasih, Jakarta! Glory, Glory! Makan! Makan! Makan! Makan!"
119,Anger,"Halo lagi ada Di Semola Birau bangsa Pagada Soap Best 25 Ini salah satu bentuk dari kresur Pembinan Lucia di ini Yang dicari disini bukan menanggalah Tapi gimana caranya mereka bisa menikmati Bermen sepak bola dengan baik dengan benar Dan dengan sesuatu yang menyenangak Itu India dari kresur데 dan ke spaghetti Ya, seru banget. Tuanya kumpulin dengan keras ketika terjadi pelanggarah. Dan akhirnya anaknya itu nannis, jadi itu jadi sebuah presiden yang buruk dari orang tua dan kejadian itu terhadap orang-orang yang melihat. Apalagi turut sama anak anak yang masih mungkin daya serapnya. Bagaimana itu? Dapaku jadi marah-marah? Jadi maksudnya, maksudnya maksudnya, orang tua jadi beratem, itu tidak harus di jarkan. Tidak boleh ada kerasan dengan lembangannya. Taka kayak gini terau maju, betul."
11,Proud,"Bal, gua ada doar seribu ga? Ada ala doar seribu banget nih Gua lah panci Eh, eh, menang tarik aja Eh, menang tarik aja Ini, dengan 200 ribu, mau bisa ganti kampasrem mobil dengan bandik happy duty Oke, buat senyek gua nih Buji-buji, dinyjak dalam Astau, firung Maksud gua udah waktu nyalang titan pasrem aja Pak Ini, kampasrem bandik senyek fitur, gantinya lebih terjangkau Oke Pemakain, bisa lebih panjalo Bisa lebih panjalo, ini, kali ini ada beberapa, 200 ribu 200 ribu Wow, tak kepini buat senyek gua Terus belinya, Pak Kampang Oh, bisa yang tangga seperti dias Kalian, bisa langsung ke official storenya bandik Bimana tuh? Yang ada di marketplace lah Semuanya ada Topo pedia, lazada, sopi, ada semua Oke, beli di situ aja Duda, sekarang berapa? Rapa Bandik Senya Oh, ada Pak Lorghan Ha, beli langsung Pak Oh, ada pasrem yang pertama nih Iya, lumayan Untuk pelasuk orang pertama, yang beli kampasrem bandik Di eventnya sini Karena bisa dapetin voucher Pemasakan gratis Di official partner bandik Dan jubulannya ada 100 lebih di Stur Indonesia Wow, lumayan tuh, dia pemasangan jadi kekafer, Pak Jadi belinya, online Nampak ke rumah, pasanya gratis Oh, bila Oh, apa lagi? Senya terima kasih Kita main game dulu Bandik? Oke, yang ini dibutnya bandik Kalian juga bisa lakukan activity yang menarik di sini Jadi kalau kalian ke dias, 2021, Jangan lupa mampir ke butnya bandik siak ada di dias Lokasinya di pre-function hold 1 Dan ini cuma berlaku sampai dias aja Jadi jasap ketiga alat Pal, doa nih Oh, oke, setiap, tawar dias Nampak, ganti, kampasrem yang dibut kalian dengan bandik Yang pesawat, hadir untuk mobil Anda Duh, buruk terus dibuat di bawah lagi, menituan"
120,Surprise,"baru aja bener-bener kabar kalau Bruno Fernandis menolak tawaran al-hilal pih beritabah bagus kayaknya buat Manchester tapi gue juga punya beritabah bagus buat kalian yang punya Rijas yang mau nyaris telan suite, mau yang formal, mau pun yang santai ada semua disini primaja ya, bosnya, bos primaja ya, aman aloh, aman adanya di mana nih? dimayastik ke barang baru nah, itu, umain, barang baru mantap, jadi glori, glori ya, tanggal 5 kita nonton tim nas, lawan cahina ayo garuda, kita harus rai poin 3 glori, glori"
121,Trust,"Cuali menukung, oxigen, fresh, atren aman sejauh ini Misuk menurutnya? Yes, itu Kami datang lagi Tim nas Indonesia Lantang kuber nyanyi Tegap damber diri Ali, Ali, Ali Ali, Ali, Ali Indonesia maju Garu datar bantinggi Ngasal, endingnya ngasal"
122,Joy,"kita menuju GMPK John masih jam 5 berapa Indonesia? 1, 2, no lu yang pasti lagi ngomongin tim nas ya? ya tim nas jadi berapa berapa Indonesia lawan China? 1,2,1 untuk? 1 Indonesia aku dan Indonesia 3 oh bahwa Indonesia 3 1 tadi berediksi debakan skor dari temen-temen nah kalau menurut kalian skornya nanti berapa berapa ini? Indonesia lawan China kalau gue kayak Indonesia bisa skornya 2 kosong kalau menurut kalian, si GMPK John jamilah jenin ribun setentang lagi Indonesia lawan China"
123,Joy,"собствен a No! Woo! So, that's it, Longran. This is the end of 2018. Thank you, Ujan. Maybe, we're at the end of the day. Thank you, Ujan. Thank you, Doping. Thank you, Yosu Ayro. That's what I've been waiting for since... ...Mantapjon. Glory, glory!"
123,Love,"STURCH STURCH all ready done Thank you Jan. Thank you. Doping. Thank you. Yosu Aero. I'm coming back. Good job, Glory Glory."
124,Surprise,"Habis servis, jangan diam. Kalian bisa langsung ngakat raket dan kaki siap bergerak seperti ini ya. Gimana? Udah siap coba yang dilapangan? Jangan gua follow ya."
125,Proud,"Oke, John, menuhu pagi di kita latihan strak. Jadi kalau untuk mempersiapkan kita full marathon, itu gak mulut tentang latihan lari terus. Jadi agar latihan straknya, strak-raining. Jadi buat kemuatin otopteruh kaki belakang. Selain itu bunanya strak betapa kos. Ya kan kos di mumpu ada pelatis saya nih, kita tanya aja. Gue tak apa kos latihan strak kos. Biar latihan yang lebih kuat, gila menciga. Setelah juga biar rapah data hano ototnya lebih kuat. Biar larinya lebih enteng, lebih strong lagi. Strong, oke. Itu John, jadi lari ke biar lebih nyaman, gitu biar lebih enak, tidak tersiksar. Jadi fitam dari start sampai finish, kita merasa menikmati lari itu dengan nyaman. Matap! Glorik, glorik."
126,Proud,"abis latihan string kita saatnya Pissio, pissio peralatan otot otot ngigurasi tau dia tempat peralatan gue wah seru wah seru lengkap tun bersih tempatnya juga teren buva, juri, tempat tempatnya teren banget jadi buat tempat tempat itu dia mau pisi yo mau sport masas jadi L-tong tenggi gue tadi abis dari apa sport masas jadi ada apa dirisin itu? nah disini memang specialisnya kita pisi apurang pisi sama sport masas saya tapi specialisnya ada yang memalukan pisi yo dan juga ada juga driving link jadi dia ini pakai jaro enak banget, jadi kalian pelari jangan cuma lari doang ayo di rawat ototototot dia seger oleh oleh oleh teresai kita perawatan di elon teknik di kawasan melawai enak jon tempatnya jadi di belakangnya inul, dulu depan itu inul inul kista nah di belakang ini terima kasih, Elon teknik sampai"
127,Proud,"Mampai John, start dari game. Malio buruk. Gori, gori. Masuk kepenting, brand of work. Depan istana. 4 kilo. Kaka sama satu golu. Di tahan arti jelek. Tommy겠습니다3. Bagus. Yang besar Scientist."
128,Surprise,"Orang yang paling pahagi bagiannya adalah pastifensia MU, karena benjah minces korras midpinda ke Manchester United seharga 85 juta euro dengan kontrak sampai 5 tahun, jadi sampai 2030. Memangnya sebutu apa sih United pada seskul? Nah ini menurut gue ya, dalam mengejar seskul ini bagian dari repolusi limi serang MU, setelah musim lalu dekvisit gol jol. Jadi kehadirannya di harapan bisa menjadikan serangan MU lebih tajam dan lebih modern. Ya nilai kontraknya juga sejajar nih dengan transfernya makis kunya dan juga berayin gue mu. Keungulan dari seskul, pemain Slovenia ini masih mudah 22 tahun, fisiknya tinggi 195 cm. Punya kecepatan teknik tinggi dan insting mencetak gol yang cukup besar. Jadi penampilan yang musim lalu tuh di Lipzik 21 gol dari 45 pertanian dan ini mengegaskan kontensinya yang sangat besar untuk limi serang MU. Nah proses negosiasinya juga sangat kompetitif sama Newcastle United, sempat mengajukan penawaran tinggi 75-90 juta euro. Termasuk bonus tapi seskul lebih memilih Manchester United. Dan pesan moral dari transfer seskul ini adalah MU akan selalu menghadap ditantangan besar. Keputusan besar dan harapan-harapan besar dari para fans-pensnya. Nama besar itu akan selalu pertap bersinar. Next Karos Baliba. Kira-kira semuanya pelisar, presentasi kita yang bertingga baliba. Sikat Jot."
129,Surprise,"Tantangan terbersanya menjaga performa tetap stabil dan ternyata besar juga butuh F4. Tidak, 2 ternyata melawan cepang dan saudi. Yang pertama kita memakai 3-4 tiga, beda level dengan cepang, kita harus akui. Tapi kita mengawal asyik pertandingan sebelumnya, kita bertanding melawan harap dengan baik sangat-sangat kompak di bagian pertahanan dan kita merubah informasi menjadi 3-5-2. Dan saya juga bersyukurus saya mencegat 2 gol. Kalau dari saya, sama aja nggak ada berbeda, ada seseji, merekaafri dan kasiung yang pul untuk merekaafri badan. Dan selanjutnya saya juga menum-meneral supaya aku butuhan meneral saya terpenuhnya. Karena jatual pertandingan yang berdekatan, ini mengaruskan saya untuk kikut latian intens. Ayrmenum yang punya mineral essential perkualitas, di leminral yang penting banget bantukan di mineral di talam 2. Pertanya seger banget dan ada marisanannya karena mengadung mineral essential saya membuat badan enteng dan bugar selal. Amazing feeling, kesanusannya buat sport Indonesia tetap dukung kita karena kita mau jadi 5 pertandingan, doakan kita dan sampai jumpa di istarnya."
12,Trust,"Pengen punya mobil istrik tapi gak mau ngecak-ngecak pas lagi keluar kota Nah, ini dia jauh banyak JG-48R di super hybrid system Dia adalah SUV yang besar Mewah, nyaman 4 budinya Wow, tebel Prendaman kabine juga numero 1 Nah, jadi pertanyaan yang mau beskiri ini pasti lemot dong, nggak No, ke 100 ya Tutas dalam waktu 5,4 detik saja Wow, kita ceng banget Kalau misalkan kita cahas, dia bisa jalan 200 km Tampam gunakan benzin sama sekali, hanya baterai aja Jadi buat dalam kota, dia kayak mobil istrik Tapi kalau misalkan kita tiba-tiba mendadak, ada urusan keluar kota atau kita misalkan, oh lu, lupa semalam ngecas Gepde jalan dong, tenang Dia bisa diisi benzin Dan kalau misalkan benzin yang full dan baterainya full Itu bisa sampai 1300 km sekali penuh Nah, kenal bisa gitu, karena dia punya masing hybrid Yang irit, dia ada satu mesin benzin Dan ada tiga motor listriknya Di jas ini juga ditambilin model yang udah di modifikasi Tuh lihat, dia pake bad extreme Depatnya dikasih bersih lagi, sama lampu Terus di atasnya dikasih roof-fresh sama ada roof-boxnya Keren banget kan Tapi ini nggak cuma sekedar cosplay Karena dia bisa off-road beneran, dia punya penggerak oil drive Dengan sistem ardis yang di desain sama jaguar lampover Terus, nggak cuma itu doang Dia juga punya drive mode yang banyak Plus suspensinya, nyaman sekali karena dia pakai suspensi CBC magnetic suspension Pop-pan Dan kalau misalkan kalian pakenya full listrik Dia juga punya jaco j5 dan bisa dipesan dari sekarang Dia nggak cuma ganteng, tapi tenaknya besar Kayak jed lapan Engine power-s dan 42ps Motor power-nya 203ps Dan torsion engine-nya 129 km karena pakai turbo Motor listriknya punya torsion 309 km Cuma itu, harganya juga lebih terjangkau Jed lapan, harganya 850 km di tarup ya Kalau yang ini, harganya 499 km di tarup ya saja Dan di jasih ini kita nggak cuma bisa lihat jet mobilnya aja Tapi bisa test drive juga Yuk, kita langsung ke tempat test drive Wut, kita banget udah ambil dapang Ini kayaknya bisa seratus kalau kita kan jutin Aman nggak ya, kalau kita kebanjiran banyaran Karena air ada EV water obstacle Wow Apa dong, tetus saja Jadi buat teman-teman bisa langsung aja ke Holes 9sbst Selama jas berlangsung dan datangin Wutnya Jeko di sini"
130,Surprise,"Mereka bilang selama si terlalu muda, nombok tunya main dilaga besar. Di bilang masyarakat jagung, di bilang badannya kecil, nombok mungkin mandi erok. Sebelum punya metalan kuat, tapi saya tak jalan. Terutuh proses sampai hakenya 2 gol kegaung arah menjadi pembutuhan. Kunci supaya ansi kebel harus jaga semuanya dari dalam. Kayak kler punya 10 kali naya sinemahet yang kuatin barrier kulit kepala. Karena kalau barrier saya kuat, pokok saya jadi gak ada yang bisa ganti. Jadi, gak cuma kulit kepala aja yang tanban, tapi saya juga. Karena saya klerit tanban."
131,Surprise,"Dan... 2 orang bodo, 2 orang bodo. Maka manis saja? Kita mau ketempat yang menyakitkan kita. Eh betul. Hari ini kita menunjuk sana kita samperin dia. Setiah itu terata mahal ya bayarannya. Habis disahiti terata kita malanya merin. Ya itu terkadang yang namanya begu sama cinta di bisla. Di bisla, udah hasil. Ayo, udah hasil. Kasus."
